Company Name,Website,Type,One-Liner Description,Target Segment,Key Capabilities,Weaknesses,Pricing,Funding Stage,Threat Level,Vertical,Source
OASYS Now,oasysnow.com,Direct,AI-powered patient identification from unstructured medical data; won Slush 100 (€1M); raising €4M seed. (web),"Hospitals, clinics, CROs, pharma – focus on rare diseases, cardiology, chronic diseases (web)","Real-time eligible patient identification from unstructured data, GRIP app (patient-facing), ELaiGIBLE SaaS platform, privacy-by-design, no data harmonization needed (web)",Very early stage (€1M prize + €4M seed raising); narrow geographic focus (Netherlands); limited customer base (web),Not publicly disclosed (web),"€1M Slush 100 prize (Nov 2024, General Catalyst + Cherry Ventures); raising €4M Seed (ASIF Ventures, Golden Egg Check, Graduate Entrepreneur Fund) (web)",Medium,Patient Identification/Recruitment,"oasysnow.com; crunchbase.com; tech.eu (Nov 21, 2024); eu-startups.com (Dec 2024)"
PharmaTrail,pharmatrail.com,Direct,Blockchain-based clinical trial data capture and management platform; $4.09M raised. (web),Pharma/biotech – Clinical Data Management teams (web),"Blockchain-based data capture, data integrity/traceability/security, clinical trial data management (web)",Blockchain differentiation is niche; narrow focus on data integrity; no AI protocol design or regulatory capabilities (web),Not publicly disclosed (web),"$4.09M raised; Blockchain Founders Group investor; Basel-based, founded 2020 (web)",Medium,Clinical Trial Data Intelligence,pitchbook.com; clinicalleader.com
Presentient,presentient.com,Direct,AI/ML trial optimization platform; adaptive trial design using reinforcement learning; 10-20% patient recruitment boost. (web),Pharma/biotech – R&D and Clinical Ops (web),"AI/ML trial optimization, real-time enrollment prediction, adaptive trial design, reinforcement learning models (web)","Limited public visibility; analytics-focused, no document generation (web)",Not publicly disclosed (web),Unknown (web),Medium,Clinical Trial Data Intelligence,presentient.com; nature.com/articles/s41746-025-02048-5; mckinsey.com
RAYLYTIC,raylytic.com,Direct,UNITY platform for automated medical image analysis + clinical data extraction; $3.77M raised; 30+ MedTech manufacturers. (web),MedTech/medical device manufacturers – Clinical Ops (web),"UNITY platform, automated medical image analysis, CRF + PROM integration, AI-based imaging, FDA 21 CFR Part 11 compliant; claims 50% trial timeline reduction (web)",Specialized in imaging/device trials; narrow applicability outside MedTech (web),Not publicly disclosed (web),"$3.77M raised; TGFS, Vitara Biomedical investors; Leipzig-based, founded 2017, 51 employees (web)",Medium,Clinical Trial Data Intelligence,crunchbase.com/organization/aces-2; raylytic.com
Trialflow,trialflow.io,Direct,Data-driven site identification and feasibility assessment platform with patient reimbursement capabilities. (web),"Pharma sponsors, CROs – Site Management teams (web)","Data-driven site selection, feasibility assessment, patient credit card for reimbursements, global data privacy compliance (web)",Site selection only; limited public visibility; appears smaller scale (web),Not publicly disclosed (web),Not disclosed; appears bootstrapped/profitable (web),Medium,Site Selection,trialflow.io; globenewswire.com (Nov 2025)
Veeva Systems,veeva.com,Traditional / CRO,"Enterprise cloud platform unifying CTMS, eTMF, Study Startup, site selection; 500+ clinical customers. NYSE: VEEV. (web)","Large pharma, CROs – enterprise-wide clinical operations (web)","Veeva Vault Clinical (CTMS, eTMF, Study Startup, Clinical Data Management), Veeva Site Select (automation + analytics), real-time trial visibility (web)",Legacy enterprise platform; high switching costs may deter smaller sponsors; not AI-native generative approach (web),Enterprise SaaS subscription (web),Public company (NYSE: VEEV); mature enterprise vendor (web),Medium,Clinical Trial Data Intelligence,veeva.com; appliedclinicaltrialsonline.com
Agora Labs,agoralabs.eu,Adjacent,"Deep-tech platform for secure, privacy-guaranteed health data sharing for clinical research.","Clinical research centers, Life sciences, AI developers","Secure health data sharing, Agora Node, evidence generation, multi-modal data curation","Data infrastructure play, not trial execution",Unknown,Unknown; founded 2022,Low,Clinical Trial Data Intelligence,Internal files only
Allos,allos.health,Adjacent,Health technology startup.,Not available,Not available,Not available,Unknown,Raising investment,Low,Unknown,Internal files only
Allyfe,allyfe.health,Adjacent,"Smart document management platform (SSU, digital ISF, eTMF) with patient enrollment/retention tools. (web)","Sponsors, CROs, clinical trial sites (web)","SSU automation, digital ISF, eTMF, remote QC, compliant archiving, patient enrollment/eConsent (web)",DOWNGRADED: Unfunded after 4+ years; only 4 employees; no major customers; competing against Veeva/Oracle without resources (web),Not publicly disclosed (web),Unfunded/bootstrapped; founded 2020; 4 employees (web),Low,Clinical Development Documentation,tracxn.com; crunchbase.com/organization/allyfe; allyfe.health
Altrovia,altrovia.com,Adjacent,Clinical trial technology startup.,"Pharma, Biotech",Not available,Not available,Unknown,Raising investment,Low,Unknown,Internal files only
Ancora.ai AG,ancora.ai,Adjacent,AI patient identification and recruitment for clinical trials.,"Pharma, Biotech – Patient Recruitment","AI patient identification, recruitment optimization",Narrow recruitment focus,Unknown,Unknown,Low,Patient Identification/Recruitment,Internal files only
Carelane,carelane.io,Adjacent,"HL7 FHIR-based platform for study design, site management, and RWE analysis.","Pharma, Biotech, CROs","HL7 FHIR integration, study design, site management, RWE",Infrastructure/interoperability focus; no document generation,Unknown,Unknown,Low,Feasibility & Site Engagement,Internal files only
CliniNote,clininote.com,Adjacent,AI/NLP clinical notes for healthcare providers; captures research data without burdening clinicians.,"Healthcare providers, Pharma – Clinical Data teams","AI/NLP clinical notes, CliniNote Assistant, real-time data capture","Clinical data capture tool, not trial management",Unknown,Unknown,Low,Feasibility & Site Engagement,Internal files only
EasyMedStat,easymedstat.com,Adjacent,Statistical and data management tools for clinical research.,"Pharma, Biotech, Academic research","Statistical analysis, data management","Statistical tool, not AI-native execution platform",Unknown,Unknown,Low,Clinical Trial Data Intelligence,Internal files only
HealthKey,healthkey.health,Adjacent,Digital health platform connecting users to affordable health/wellness services.,"Consumers, Healthcare providers","Digital health marketplace, patient identification","Consumer health platform, not clinical trial focused",Unknown,Unknown,Low,Patient Identification/Recruitment,Internal files only
Iduneo,iduneo.com,Adjacent,Patient identification and recruitment platform for clinical trials.,"Pharma, Biotech, CROs – Patient Recruitment","Patient identification, recruitment optimization",Recruitment-only; no protocol design or regulatory,Unknown,Unknown,Low,Patient Identification/Recruitment,Internal files only
Kitsa,kitsa.io,Adjacent,Health/clinical technology startup.,Not available,Not available,Not available,Unknown,Raising investment (March 2026 overview),Low,Unknown,Internal files only
Mpiriq,mpiriq.com,Adjacent,Documentation automation and knowledge extraction from clinical care.,"Healthcare providers, Pharma","Documentation automation, clinical knowledge extraction","Care documentation focus, not clinical trial execution",Unknown,Unknown,Low,Clinical Trial Data Intelligence,Internal files only
PatLynk,patlynk.com,Adjacent,Patient-trial matching using data analytics.,"Pharma, Biotech, CROs – Patient Recruitment","Patient-trial matching, data analytics",Patient matching only; no protocol design or regulatory,Unknown,Unknown,Low,Clinical Trial Data Intelligence,Internal files only
Puray,puray.com,Adjacent,Clinical trial or health technology startup.,Not available,Not available,Not available,Unknown,Raising investment,Low,Unknown,Internal files only
Qorra,qorra.ai,Adjacent,Health/clinical technology startup.,Not available,Not available,Not available,Unknown,Raising investment,Low,Unknown,Internal files only
R.grid,rgrid.tech,Adjacent,Clinical development documentation platform.,"Pharma, Biotech – Clinical Documentation teams",Documentation workflow automation,No AI-native protocol design or site selection; narrower scope,Unknown,Unknown,Low,Clinical Development Documentation,Internal files only
Sano Genetics,sanogenetics.com,Adjacent,Genomics-powered patient recruitment connecting diverse participants via genetic data.,"Pharma, Biotech – Genomics / Recruitment","Genomics-based recruitment, genetic data matching",Genomics niche; not trial design or regulatory,Unknown,Unknown,Low,Patient Identification/Recruitment,Internal files only
Skyvor Medical AG,skyvormed.com,Direct,Clinical development documentation platform for MedTech and clinical trial workflows.,"MedTech, Pharma – Clinical Documentation teams","Clinical documentation, trial workflow management",Narrow documentation focus; no AI protocol building,Unknown,Unknown,Low,Clinical Development Documentation,Internal files only
Sqilline,sqilline.com,Adjacent,Danny Platform using AI and big data analytics on real-world EHR data.,"Pharma, Biotech – R&D teams","Danny Platform, AI/big data on EHR, automated decision support",RWD/analytics play; not protocol design or regulatory,Unknown,Unknown,Low,Clinical Trial Data Intelligence,Internal files only
Testmate Health,testmatehealth.com,Adjacent,Clinical trial data intelligence for health testing workflows.,"Pharma, Biotech – Clinical Data teams","Clinical data intelligence, testing workflows",Narrow focus; no end-to-end trial optimization,Unknown,Unknown,Low,Clinical Trial Data Intelligence,Internal files only
TriNetX,trinetx.com,Adjacent,"Global federated real-world data platform; 300M patients, 220 healthcare orgs, 30 countries; protocol feasibility testing. (web)","Pharma sponsors, CROs – Clinical Development, Feasibility teams (web)","Federated RWD network, protocol feasibility (inclusion/exclusion testing), arrival rate prediction, cohort analysis, site/investigator identification (web)","Data infrastructure, not execution platform; complementary rather than competitive to AI protocol generation (web)",Not publicly disclosed (web),Private; VC-backed; founded 2013; mature platform (web),Low,Clinical Trial Data Intelligence,trinetx.com; pmc.ncbi.nlm.nih.gov
Yendou,yendou.io,Direct,CRM-like clinical operations platform for Phase II/III oncology trials; €1.2M pre-seed from B2Venture. (web),CROs – Oncology trial operations (web),"Site selection, onboarding, engagement for oncology trials; RFP/survey automation; feasibility acceleration (web)",Very early (<€50K ARR); CRO-only; oncology niche (web),Not publicly disclosed (web),"€1.2M pre-seed (2024, B2Venture); <€50K live ARR, €650K pipeline (from VC doc) (web)",Low,Clinical Development Documentation,techfundingnews.com; b2venture.vc; yendou.io; VC insights doc
cogniscreen,cogniscreen.ai,Adjacent,AI-based patient screening and identification for clinical trials.,"Pharma, Biotech – Patient Screening","AI patient screening, identification",Screening only; no trial design or regulatory,Unknown,Unknown,Low,Patient Identification/Recruitment,Internal files only
stane,stane-groupe.fr,Adjacent,AI-enhanced data warehouse for clinical studies in urban medicine.,"Health professionals, Researchers – Urban medicine","AI data warehouse, research platform, patient engagement",Niche urban medicine focus,Unknown,Unknown,Low,Clinical Trial Data Intelligence,Internal files only
PhaseV,,,,,,,,,,,
QuantHealth,,,,,,,,,,,
